,Konclude,TrOWL,leancor
ore2014/files/8bf60247-7ca8-486e-b2c8-c4646a2d9aec_cell.owl_functional.owl,false,false,false
ore2014/files/621303c6-c403-4fe4-b534-f59932ac8083_piensensfm.owl_functional.owl,false,false,false
ore2014/files/f23e4793-ead3-4f38-951d-1c12c63d5572__taxonomy.owl2_functional.owl,false,false,false
ore2014/files/5bc14acf-73cd-46fc-976a-db380540101c_data_center.owl_functional.owl,false,false,false
ore2014/files/0ca85c03-017a-4a62-b47d-82d1ae7c815a_4802s1s2s3.owl_functional.owl,false,false,false
ore2014/files/4d656633-2a50-494d-a263-4feb298442f7_siaeentrez.owl_functional.owl,false,false,false
ore2014/files/approximated_33ddb4c1-e788-4934-a482-5f9ac1164b2f_spra_functional.owl,false,false,false
ore2014/files/00303.owl_functional.owl,false,false,false
ore2014/files/0467fba4-c072-48bc-9c80-86db50415771_eo.owl_functional.owl,false,false,false
ore2014/files/00093.owl_functional.owl,false,false,false
ore2014/files/tto.teleost-taxonomy-ontology.43.owl.xml_functional.owl,false,false,false
ore2014/files/approximated_93ae159d-4b0f-4807-82ae-47f18b9a9148_food.owl_functional.owl,false,false,false
ore2014/files/37e67326-c921-46b9-9dc5-831c483b8e6e_Outline.owl_functional.owl,false,false,false
ore2014/files/507614f5-0606-4ee8-af67-c0ed815822c6_uosimple.obo_functional.owl,false,false,false
ore2014/files/34dde4d5-c21b-4eee-81f2-cba77445b687_icalobject.owl_functional.owl,false,false,true
ore2014/files/63a4907c-f852-4598-98dc-e71620b6a7b1_NIFResource.owl_functional.owl,false,false,false
ore2014/files/e45323ce-3eaf-4d88-a3fb-4636b5cf4257_figorg.owl_functional.owl,false,false,false
ore2014/files/227b0141-9524-4328-b956-b289a42467a3_usequivmod.owl_functional.owl,false,false,false
ore2014/files/approximated_00453.owl_functional.owl,false,false,false
ore2014/files/flopo.flora-phenotype-ontology.3.owl.xml_functional.owl,false,false,false
ore2014/files/6db72b64-5e51-4f54-b197-c70294d3f9c9_onInferred.owl_functional.owl,false,false,false
ore2014/files/d41142a6-be30-40e5-a5bb-82ab0b7031bc_imitive1.0.owl_functional.owl,false,false,false
ore2014/files/844cdbf2-dc80-4f98-a8cb-9b0033c14c8f_foot.owl_functional.owl,false,false,false
ore2014/files/efcf6587-77cb-4ab3-ab56-4d4c7e706302_hp.obo_functional.owl,false,false,false
ore2014/files/ac101702-4c3c-4dde-a173-762a9a0122db_phenotype.owl2_functional.owl,false,false,false
ore2014/files/479e1fd4-e79b-42d6-9056-63f9e2e43403_condition_1.owl_functional.owl,false,false,false
ore2014/files/mmo.measurement-method-ontology.42.owl.xml_functional.owl,false,false,false
ore2014/files/a6ecfabd-295e-4dfd-acbf-2167332f323a_gcmdscience.owl_functional.owl,false,false,false
ore2014/files/51d2a22f-8a0f-4fcd-9398-ea22284710f7_protlabels.obo_functional.owl,false,false,false
ore2014/files/086bc8fe-9648-4f9c-973e-88f33d5392a1_gastertype.owl_functional.owl,false,false,false
ore2014/files/bada3181-13fd-47a1-b83e-ac028f913221_isiaeensfm.owl_functional.owl,false,false,false
ore2014/files/f3488d00-fae9-46f0-a4e4-2439cb892c37_RXNO_OWL.owl_functional.owl,false,false,false
ore2014/files/3e4bc706-730f-43e5-8a5e-c7dc6eebe2a5_ographies.rdfs_functional.owl,false,false,false
ore2014/files/cd7ea228-575d-42f1-8c61-12f4998ed21b_O_mappings.owl_functional.owl,false,false,false
ore2014/files/8e31b2fa-a5f7-4bab-b9b6-f914e4420e73_er_science.owl_functional.owl,false,false,false
ore2014/files/157b84b3-05c5-449c-8d1e-6d35baf46b0f_lgcs.rdfs_functional.owl,false,false,false
ore2014/files/032ec1a0-864c-48d8-b381-cf2a152ec49a_oc.obo.CURRENT_functional.owl,false,false,false
ore2014/files/08c18558-c391-4b1f-84c6-3631d00c948f_protlabels.owl_functional.owl,false,false,false
ore2014/files/approximated_kb-owl-syntax-unraveled-depth-0-cardinalities-triggers-constant-classes-value-nominals.ofn_functional.owl,false,false,false
ore2014/files/085b1f67-63ec-4cab-95e9-3edf96c30fa1_eriofamily.owl_functional.owl,false,false,false
ore2014/files/c5d5db0f-effa-4a10-98fa-9c06285acb65_4802s1s2s2.owl_functional.owl,false,false,false
ore2014/files/4b917dd8-b7db-4ccc-818c-a90a51353e3d_naequivmod.owl_functional.owl,false,false,false
ore2014/files/0bfc3bd6-41f4-4d29-95fe-6e72a34ec3e4_visiaetype.owl_functional.owl,false,false,true
ore2014/files/birnlex.biomedical-informatics-research-network-project-lexicon.1.owl.xml_functional.owl,false,false,false
ore2014/files/031191c6-b4f6-46b7-bc5d-4755e3836523_fbspsimple.owl_functional.owl,false,false,false
ore2014/files/kb-owl-syntax-unraveled-depth-0-constant-classes-value-nominals.ofn_functional.owl,false,false,false
ore2014/files/689600ca-4a5f-43a4-9483-58415f627c66_ioequivmod.owl_functional.owl,false,false,false
ore2014/files/e08af18e-cf8d-4007-be9f-15434e0cd2d2_go_imports.owl_functional.owl,false,false,false
ore2014/files/19dad552-98b6-4366-b90f-368b4b05299d_descriptor.owl_functional.owl,false,false,false
ore2014/files/apo.ascomycete-phenotype-ontology.25.owl.xml_functional.owl,false,false,false
ore2014/files/1e55d681-a13e-49db-b995-d1438007c648_y_taxonomy.owl_functional.owl,false,false,false
ore2014/files/approximated_69c07f76-4b61-4534-9927-31ec4d8f5038_AAkeysv1.0.n3_functional.owl,false,false,false
ore2014/files/24254b04-9e07-4aea-b4c7-e037130f974b_dence_code.obo_functional.owl,false,false,false
ore2014/files/approximated_00478.owl_functional.owl,false,false,false
ore2014/files/approximated_csso.clinical-signs-and-symptoms-ontology.4.owl.xml_functional.owl,false,false,false
ore2014/files/e1f4360c-6052-4caa-a4de-4bb38321f897_gansentrez.owl_functional.owl,false,false,false
ore2014/files/1b99efff-7fdf-4fb3-8b01-9d8ab2efc8f1_3702.rdf_functional.owl,false,false,false
ore2014/files/approximated_kb-owl-syntax-unraveled-depth-0-cardinalities-triggers.ofn_functional.owl,false,false,false
ore2014/files/dba3f924-7913-4470-8536-0fe9a57793ca_ysfunction.obo_functional.owl,false,false,false
ore2014/files/3003eefc-3bfd-414c-bc79-456ac05dfa9e_piensensfm.obo_functional.owl,false,false,false
ore2014/files/approximated_cca58b06-774c-4b2c-9e97-998c039b9f5c_dence_code.owl_functional.owl,false,false,false
ore2014/files/approximated_00647.owl_functional.owl,false,false,false
ore2014/files/0dbdc7a2-b0c1-45db-ad1c-224ecd5e7223_calischrom.owl_functional.owl,false,false,false
ore2014/files/approximated_d0e44828-b51d-4469-a4d2-31734d237777_lary_assay.owl_functional.owl,false,false,false
ore2014/files/approximated_1911642a-c7ce-4296-b89c-6607750bb07d_riopthrids.owl_functional.owl,false,false,false
ore2014/files/3a5a6441-e022-4fd4-8c10-7affdd72d5a2_aeequivmod.owl_functional.owl,false,false,true
ore2014/files/b7b37b83-c9f7-481c-b3fa-5a04a0f3903d_protlabels.obo_functional.owl,false,false,false
ore2014/files/approximated_49be6fe8-8651-401f-999a-015d9131ccb8_na_symptom.owl_functional.owl,false,false,false
ore2014/files/ae629bff-dc93-4b7c-8076-86454be56fe8_ACMCSS.owl_functional.owl,false,false,false
ore2014/files/approximated_00568.owl_functional.owl,false,false,false
ore2014/files/1b0f7276-4481-4ccd-a269-56d1edc49c3b_ianaentrez.owl_functional.owl,false,false,false
ore2014/files/6212f2de-1a0e-4906-a1ad-9cbeb912f066_inferences.owl_functional.owl,false,false,false
ore2014/files/approximated_e4f4010d-c6a2-4fbb-b76d-3b75f3f0ba00_all.rdf_functional.owl,false,false,false
ore2014/files/approximated_00455.owl_functional.owl,false,false,false
ore2014/files/approximated_58eb3156-d6a5-454d-bdc4-90451e9f740f_HP_functional.owl,false,false,false
ore2014/files/63c11dda-e6d7-4e4f-a243-a8a5892ba5cb_imeContent.owl_functional.owl,false,false,false
ore2014/files/1b45125c-0cc2-4964-99f4-846ae2ccf529_seontology.owl_functional.owl,false,false,false
ore2014/files/approximated_0e7c85d3-5d17-454e-8177-a833127d9c0e_wine.owl_functional.owl,false,false,false
ore2014/files/57c94444-63d7-4aa6-b656-be2afa4a06c7_phenotype.owl2_functional.owl,false,false,false
ore2014/files/e3fc5540-c436-4e5e-8865-3ae0795837f2_usequivmod.owl_functional.owl,false,false,false
ore2014/files/ff5266b2-48fe-454e-8336-6ae2b6971c08_inc.rdfxml.owl_functional.owl,false,false,false
